Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,neutral,blender,q',"(0, 100, 0)",,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.370799999975134,46.37103008298436,46.4540645829984,45.370799999975134,None,46.4540645829984,47.45452612498775,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
2,positive,curious,p',"(0, 100, 0)",,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.95527500001481,48.95454358297866,49.0378914999892,47.95527500001481,None,49.0378914999892,50.03767629095819,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
None,None,None,None,None,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.53783579100855,51.53752320801141,51.62097462499514,50.53783579100855,p,51.62097462499514,None,0.8779647499904968,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.521781374991406,None,space,4.593707624997478,52.521781374991406,None,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
12,neutral,imaging,q',"(0, 100, 0)",,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,57.151150374964345,58.15450745797716,58.2385760829784,None,None,58.2385760829784,59.238114750012755,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
4,positive,content,p',"(0, 100, 0)",,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,59.73843849997502,60.738159624976106,60.821449457958806,None,None,60.821449457958806,61.82152087497525,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
20,neutral,designating,q',"(0, 100, 0)",,,,,,0,2,2,19,,,,,,,,,,,,,,,,,,,,,,,,,62.32200979097979,63.3215391249978,63.40481187496334,62.32200979097979,None,63.40481187496334,64.40491570800077,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
8,positive,joyful,p',"(0, 100, 0)",,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,64.90505108301295,65.90476941596717,65.98817837500246,64.90505108301295,None,65.98817837500246,66.98793566599488,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
16,neutral,condition,q',"(0, 100, 0)",,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,67.48835095798131,68.48834991600597,68.57144158298615,67.48835095798131,None,68.57144158298615,69.57203391595976,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
18,neutral,ceiling,q',"(0, 100, 0)",,,,,,0,5,5,17,,,,,,,,,,,,,,,,,,,,,,,,,70.07144754100591,71.0717996659805,71.15487158298492,70.07144754100591,None,71.15487158298492,72.15490266599227,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1438,myproject,2021.2.3,59.80096743574194,
